4510000,アイチケン,ナゴヤシニシク,イカニケイサイガナイバアイ,愛知県,名古屋市西区,以下に掲載がない場合
4506427,アイチケン,ナゴヤシナカムラク,メイエキダイナゴヤビルヂング（２７カイ）,愛知県,名古屋市中村区,名駅大名古屋ビルヂング（２７階）
4506428,アイチケン,ナゴヤシナカムラク,メイエキダイナゴヤビルヂング（２８カイ）,愛知県,名古屋市中村区,名駅大名古屋ビルヂング（２８階）
4506429,アイチケン,ナゴヤシナカムラク,メイエキダイナゴヤビルヂング（２９カイ）,愛知県,名古屋市中村区,名駅大名古屋ビルヂング（２９階）
4506430,アイチケン,ナゴヤシナカムラク,メイエキダイナゴヤビルヂング（３０カイ）,愛知県,名古屋市中村区,名駅大名古屋ビルヂング（３０階）
4506431,アイチケン,ナゴヤシナカムラク,メイエキダイナゴヤビルヂング（３１カイ）,愛知県,名古屋市中村区,名駅大名古屋ビルヂング（３１階）
4506432,アイチケン,ナゴヤシナカムラク,メイエキダイナゴヤビルヂング（３２カイ）,愛知県,名古屋市中村区,名駅大名古屋ビルヂング（３２階）
4506433,アイチケン,ナゴヤシナカムラク,メイエキダイナゴヤビルヂング（３３カイ）,愛知県,名古屋市中村区,名駅大名古屋ビルヂング（３３階）
4506434,アイチケン,ナゴヤシナカムラク,メイエキダイナゴヤビルヂング（３４カイ）,愛知県,名古屋市中村区,名駅大名古屋ビルヂング（３４階）
4506290,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（チカイ・カイソウフメイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（地階・階層不明）
4506201,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（１カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（１階）
4506202,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（２カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（２階）
4506203,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（３カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（３階）
4506204,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（４カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（４階）
4506205,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（５カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（５階）
4506206,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（６カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（６階）
4506207,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（７カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（７階）
4506208,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（８カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（８階）
4506209,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（９カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（９階）
4506210,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（１０カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（１０階）
4506211,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（１１カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（１１階）
4506212,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（１２カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（１２階）
4506213,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（１３カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（１３階）
4506214,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（１４カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（１４階）
4506215,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（１５カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（１５階）
4506216,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（１６カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（１６階）
4506217,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（１７カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（１７階）
4506218,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（１８カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（１８階）
4506219,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（１９カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（１９階）
4506220,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（２０カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（２０階）
4506221,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（２１カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（２１階）
4506222,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（２２カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（２２階）
4506223,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（２３カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（２３階）
4506224,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（２４カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（２４階）
4506225,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（２５カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（２５階）
4506226,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（２６カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（２６階）
4506227,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（２７カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（２７階）
4506228,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（２８カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（２８階）
4506229,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（２９カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（２９階）
4506230,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（３０カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（３０階）
4506231,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（３１カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（３１階）
4506232,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（３２カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（３２階）
4506233,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（３３カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（３３階）
4506234,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（３４カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（３４階）
4506235,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（３５カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（３５階）
4506236,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（３６カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（３６階）
4506237,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（３７カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（３７階）
4506238,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（３８カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（３８階）
4506239,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（３９カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（３９階）
4506240,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（４０カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（４０階）
4506241,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（４１カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（４１階）
4506242,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（４２カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（４２階）
4506243,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（４３カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（４３階）
4506244,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（４４カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（４４階）
4506245,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（４５カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（４５階）
4506246,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（４６カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（４６階）
4506247,アイチケン,ナゴヤシナカムラク,メイエキミッドランドスクエア（コウソウトウ）（４７カイ）,愛知県,名古屋市中村区,名駅ミッドランドスクエア（高層棟）（４７階）
4500003,アイチケン,ナゴヤシナカムラク,メイエキミナミ,愛知県,名古屋市中村区,名駅南
4506026,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（２６カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（２６階）
4500002,アイチケン,ナゴヤシナカムラク,メイエキ（ソノタ）,愛知県,名古屋市中村区,名駅（その他）
4506414,アイチケン,ナゴヤシナカムラク,メイエキダイナゴヤビルヂング（１４カイ）,愛知県,名古屋市中村区,名駅大名古屋ビルヂング（１４階）
4506403,アイチケン,ナゴヤシナカムラク,メイエキダイナゴヤビルヂング（３カイ）,愛知県,名古屋市中村区,名駅大名古屋ビルヂング（３階）
